node,parent,when,radio_id,tag,frequency,rssi,longitude,latitude
node_1,imei_352580083970645,2018-05-11 00:00:00.362000,1,61555507,433.25,-111,-106.6247825941,34.3668922583
node_29,imei_352580083970645,2018-05-11 00:00:00.366000,2,61555507,433.5,-101,-106.6205540461,34.3656579925
node_1,imei_352580083970645,2018-05-11 00:00:00.388000,6,61555507,433.25,-111,-106.6247825941,34.3668922583
node_37,imei_352580083970645,2018-05-11 00:00:00.563000,7,61555507,434.75,-97,-106.6190476886,34.3659137253
node_56,imei_352580083970975,2018-05-11 00:00:00.770000,2,61555534,433.5,-103,-106.616924616,34.3636711575
node_49,imei_352580083970975,2018-05-11 00:00:00.877000,1,61555534,433.25,-103,-106.6178319574,34.3641678771
node_50,imei_352580083970975,2018-05-11 00:00:00.909000,2,61557f34,433.5,-111,-106.6172329632,34.3649202997
node_30,imei_352580083970975,2018-05-11 00:00:01.220000,3,61555507,434.5,-105,-106.6199550667,34.3664104279
node_1,imei_352580083970975,2018-05-11 00:00:01.385000,1,61555507,433.25,-111,-106.6247825941,34.3668922583
node_37,imei_352580083970645,2018-05-11 00:00:01.481000,4,61555507,434.75,-97,-106.6190476886,34.3659137253
